Chanakyapuri,28.5946775,77.1885212,Samawar - The Coffee Shop,28.597267,77.191812,Diner,568bb2ad498e81914839e963,0
Delhi Cantonment,28.56069055,77.1607907316857,Sartoria,28.558936931298675,77.16418175670036,Italian Restaurant,4bc9e9870687ef3b23bddacc,0
Delhi Cantonment,28.56069055,77.1607907316857,The Piano Man Art Cafe,28.557488459268708,77.16397904994379,Café,50a74456e4b0f0765f66162e,0
Delhi Cantonment,28.56069055,77.1607907316857,Yo! China,28.557967463265673,77.16426958310775,Chinese Restaurant,4c8618d047cc224b3929a69f,0
Delhi Cantonment,28.56069055,77.1607907316857,McDonald's,28.557372192605847,77.16352104853003,Fast Food Restaurant,4d4519741928a35d6838c070,0
Delhi Cantonment,28.56069055,77.1607907316857,KFC,28.55747664357695,77.16408898760389,Fast Food Restaurant,4c922da6ae45224b13e2ed97,0
Delhi Cantonment,28.56069055,77.1607907316857,Dunkin' Donuts,28.557533257995065,77.16416294618206,Donut Shop,52f5e471498ea44f8b02b569,0
Delhi Cantonment,28.56069055,77.1607907316857,Barista Lavazza,28.559193975714376,77.1638535218248,Café,4d2d3297ae3a8cfa156dc370,0
Delhi Cantonment,28.56069055,77.1607907316857,Kylin,28.561145314865772,77.1575595297581,Asian Restaurant,4b9d2871f964a520de9436e3,0
Delhi Cantonment,28.56069055,77.1607907316857,The Asia Kitchen,28.558754559236927,77.164036594055,Chinese Restaurant,4ee488dbe4b0387f9188362d,0
Delhi Cantonment,28.56069055,77.1607907316857,Nirula's,28.558970619906066,77.16386475506732,Fast Food Restaurant,4e68f9b3d4c0c570908aaba5,0
Delhi Cantonment,28.56069055,77.1607907316857,"New CCD,Priya complex",28.558828516131314,77.16390407140779,Café,51890fe7498e3c5f2b22c023,0
Delhi Cantonment,28.56069055,77.1607907316857,Soi Thai,28.557990135721834,77.1638535218248,Thai Restaurant,4ff54f6ae4b01992a9d2ca21,0
Delhi Cantonment,28.56069055,77.1607907316857,Barrels,28.55771890323536,77.164297234098,Restaurant,52ea1e51498e7cfc729754f8,0
Delhi Cantonment,28.56069055,77.1607907316857,Pizza Hut,28.557583100925026,77.16407127370172,Pizza Place,4dc3b6a1d164eb9c9fc2b4bc,0
Delhi Cantonment,28.56069055,77.1607907316857,krips,28.55735969543457,77.1640625,Indian Restaurant,535cac31498ed263b06e9b6a,0
Vasant Vihar,28.56069055,77.1607907316857,Sartoria,28.558936931298675,77.16418175670036,Italian Restaurant,4bc9e9870687ef3b23bddacc,0
Vasant Vihar,28.56069055,77.1607907316857,The Piano Man Art Cafe,28.557488459268708,77.16397904994379,Café,50a74456e4b0f0765f66162e,0
Vasant Vihar,28.56069055,77.1607907316857,Yo! China,28.557967463265673,77.16426958310775,Chinese Restaurant,4c8618d047cc224b3929a69f,0
Vasant Vihar,28.56069055,77.1607907316857,McDonald's,28.557372192605847,77.16352104853003,Fast Food Restaurant,4d4519741928a35d6838c070,0
Vasant Vihar,28.56069055,77.1607907316857,KFC,28.55747664357695,77.16408898760389,Fast Food Restaurant,4c922da6ae45224b13e2ed97,0
Vasant Vihar,28.56069055,77.1607907316857,Dunkin' Donuts,28.557533257995065,77.16416294618206,Donut Shop,52f5e471498ea44f8b02b569,0
Vasant Vihar,28.56069055,77.1607907316857,Barista Lavazza,28.559193975714376,77.1638535218248,Café,4d2d3297ae3a8cfa156dc370,0
Vasant Vihar,28.56069055,77.1607907316857,Kylin,28.561145314865772,77.1575595297581,Asian Restaurant,4b9d2871f964a520de9436e3,0
Vasant Vihar,28.56069055,77.1607907316857,The Asia Kitchen,28.558754559236927,77.164036594055,Chinese Restaurant,4ee488dbe4b0387f9188362d,0
Vasant Vihar,28.56069055,77.1607907316857,Nirula's,28.558970619906066,77.16386475506732,Fast Food Restaurant,4e68f9b3d4c0c570908aaba5,0
Vasant Vihar,28.56069055,77.1607907316857,"New CCD,Priya complex",28.558828516131314,77.16390407140779,Café,51890fe7498e3c5f2b22c023,0
Vasant Vihar,28.56069055,77.1607907316857,Soi Thai,28.557990135721834,77.1638535218248,Thai Restaurant,4ff54f6ae4b01992a9d2ca21,0
Vasant Vihar,28.56069055,77.1607907316857,Barrels,28.55771890323536,77.164297234098,Restaurant,52ea1e51498e7cfc729754f8,0
Vasant Vihar,28.56069055,77.1607907316857,Pizza Hut,28.557583100925026,77.16407127370172,Pizza Place,4dc3b6a1d164eb9c9fc2b4bc,0
Vasant Vihar,28.56069055,77.1607907316857,krips,28.55735969543457,77.1640625,Indian Restaurant,535cac31498ed263b06e9b6a,0
Connaught Place,28.6313827,77.2197924,Wenger's,28.633411895746676,77.21829192902194,Bakery,4e4e44902271a1bdc3ccee8d,0
Connaught Place,28.6313827,77.2197924,Farzi Cafe,28.632580798842707,77.22112484247755,Molecular Gastronomy Restaurant,568feb91498edb833d755933,0
Connaught Place,28.6313827,77.2197924,Chaayos,28.631628538643216,77.22036426182864,Café,56adb1f8498e9db1d6bb16ed,0
